"id;tomo_secao;atividade;descricao;responsavel_principal;apoio;entrega_portal;dependencias;palavras_chave;status;tipo_conteudo;visibilidade;criterio_aceite;fonte_base","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00;Apresentação;Apresentação geral do Estudo e arquitetura de publicação;Apresentar o objetivo"," a metodologia"," a equipe"," a relação entre os Relatórios 1 e 2"," a estrutura do Portal Naval e a lógica do banco de dados. Esta atividade deve funcionar como porta de entrada pública para o estudo.;M3;""M1; M2"";""Página de apresentação; ficha do estudo; mapa de tomos; glossário inicial."";Definição da identidade editorial"," nomes dos membros e validação da arquitetura do portal.;""Estudo BNDES; governança; metodologia; portal naval"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A01;Tomo I — Introdução;Introdução"," objetivos e escopo do Relatório 1;Delimitar o problema de pesquisa"," os objetivos de diagnóstico e cenários"," os ciclos históricos analisados e os segmentos abrangidos: navios"," embarcações fluviais"," offshore"," módulos"," reparo"," descomissionamento e desmantelamento.;M2;""M1; M3"";""Resumo executivo do tomo; escopo; mapa de capítulos; critérios de leitura."";Aprovação dos limites analíticos e da nomenclatura dos segmentos.;""introdução; escopo; diagnóstico; cenários"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A02;Tomo I — Economia Marítima;Economia marítima e setores geradores de demanda;Explicar a inter-relação entre indústria naval"," marinha mercante"," óleo e gás"," energia"," pesca e defesa"," ressaltando a natureza estratégica da economia do mar e as mudanças econômicas"," geopolíticas"," ambientais"," regulatórias e tecnológicas.;M2;""M1; M3"";""Página temática; diagrama de inter-relações; síntese de oportunidades e desafios."";Base conceitual e taxonomia setorial aprovadas.;""economia do mar; demanda; setores marítimos; estratégia"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A03;Tomo I — Transporte Marítimo Mundial;Mercados mundiais de transporte marítimo;Analisar a organização dos mercados internacionais"," os principais segmentos de carga"," fluxos"," tipos de navios"," bandeiras"," fretes"," preços"," carteiras de encomendas"," regulação e tendências ambientais"," econômicas e geopolíticas.;M2;M1;""Dataset de mercados e frotas; gráficos de fluxos e segmentos; nota de tendências."";Definição das fontes"," períodos e unidades de medida para comparação internacional.;""transporte marítimo; frota; fretes; comércio internacional"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A04;Tomo I — Transporte Marítimo no Brasil;Marinha mercante e transporte marítimo brasileiro;Descrever a evolução da marinha mercante brasileira"," os fluxos de cabotagem e longo curso"," empresas"," frotas"," bandeiras"," afretamento"," infraestrutura"," custos diferenciais e gargalos"," convertendo o diagnóstico em cenários de demanda naval.;M2;""M3; M1"";""Página Brasil; cadastro de empresas/frotas; quadro de gargalos; cenários de construção"," reparo e modernização."";Compatibilização com dados de transporte e com o capítulo de políticas brasileiras.;""marinha mercante; cabotagem; longo curso; afretamento"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A05;Tomo I — Transporte Hidroviário Interior;Bacias"," fluxos e demanda por embarcações fluviais;Mapear bacias"," infraestrutura"," fluxos de carga e passageiros"," empresas"," frotas"," multimodalidade"," impactos ambientais e papel da navegação no desenvolvimento regional"," estimando a demanda por embarcações fluviais.;M2;""M1; M3"";""Mapa temático; tabela de bacias e fluxos; cenário de demanda fluvial; ficha regional."";Disponibilidade de dados por bacia e harmonização com o diagnóstico de estaleiros fluviais.;""hidrovias; navegação interior; Amazônia; desenvolvimento regional"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A06;Tomo I — Óleo e Gás Offshore;Mercado mundial de óleo e gás offshore e unidades de E&P;Analisar regiões produtoras"," empresas"," marcos regulatórios"," tipos de unidades flutuantes"," operação dos campos e mercados de construção"," afretamento"," conversão e descomissionamento"," com atenção a FPSO e sondas.;M2;""M1; M3"";""Página de mercado offshore; quadro de unidades; séries de demanda; matriz de tendências."";Integração com descarbonização e com a avaliação de capacidade de fabricação e integração de módulos.;""offshore; óleo e gás; FPSO; sondas; descomissionamento"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A07;Tomo I — Offshore no Brasil;Atividade offshore brasileira e demanda associada;Caracterizar campos"," empresas"," participação de mercado"," unidades em operação"," perspectivas e descomissionamento no Brasil"," traduzindo essas informações em demanda potencial para construção"," fabricação"," integração de módulos e conversão.;M2;""M1; M3"";""Painel Brasil offshore; inventário de unidades; cenários de demanda; mapa de oportunidades."";Atualização das bases de campos"," unidades e projetos em andamento.;""offshore Brasil; unidades flutuantes; módulos; demanda"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A08;Tomo I — Apoio Offshore;Aliviadores e embarcações de apoio offshore;Comparar o mercado mundial e brasileiro de navios aliviadores e OSV"," incluindo tipos de embarcação"," padrões operacionais"," afretamento"," preços"," regulação"," empresas"," frotas e verticalização.;M1;""M2; M3"";""Catálogo de tipos de embarcação; comparação internacional; cenários por classe de OSV."";Definição das classes de embarcações e das métricas de comparação.;""aliviadores; OSV; apoio marítimo; apoio portuário"";Planejada;Atividade de desenvolvimento + ficha pública;Público após aprovação;Texto revisado"," fontes registradas"," responsável confirmado e ficha de portal preenchida.;Estrutura-Relatorio_1.docx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
